"","COLLISION_TYPE","FATAL_OR_MAJ_INJ","DAY_OF_WEEK","CRASH_MONTH","CELL_PHONE","IMPAIRED_DRIVER","FATIGUE_ASLEEP","SPEEDING_RELATED","WEATHER","SPEED_LIMIT","DEC_LAT","DEC_LONG"
"1","Rear-end",FALSE,"Friday",3,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.40259933,-80.06819916
"2","Hit fixed object",FALSE,"Thursday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",25,40.45869827,-79.99849701
"3","Angle",FALSE,"Thursday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.45190048,-80.01660156
"4","Hit fixed object",FALSE,"Thursday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",25,40.47600174,-79.95760345
"5","Head-on",FALSE,"Thursday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",15,40.46509933,-80.10929871
"6","Hit fixed object",FALSE,"Thursday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",35,40.47370148,-79.85649872
"7","Rear-end",FALSE,"Thursday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",45,40.36930084,-79.77850342
"8","Angle",FALSE,"Thursday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.41350174,-80.0428009
"9","Rear-end",FALSE,"Thursday",1,FALSE,FALSE,FALSE,FALSE,"Other",40,40.37039948,-79.78630066
"10","Angle",FALSE,"Thursday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.45199966,-79.98349762
"11","Hit fixed object",FALSE,"Friday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",35,40.35620117,-79.9910965
"12","Hit fixed object",FALSE,"Friday",1,FALSE,FALSE,FALSE,TRUE,"No adverse conditions",35,40.48949814,-79.92829895
"13","Hit fixed object",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",15,40.44680023,-79.97489929
"14","Hit fixed object",FALSE,"Friday",1,FALSE,FALSE,FALSE,TRUE,"No adverse conditions",25,40.37670135,-79.98519897
"15","Rear-end",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",35,40.49689865,-79.79959869
"16","Hit fixed object",FALSE,"Thursday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",25,40.40010071,-79.89779663
"17","Rear-end",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",40,40.43830109,-79.83070374
"18","Angle",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.41690063,-80.01439667
"19","Angle",FALSE,"Thursday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",35,40.3830986,-79.82759857
"20","Rear-end",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",NA,40.38219833,-79.81079865
"21","Sideswipe (same dir.)",FALSE,"Friday",1,FALSE,FALSE,TRUE,FALSE,"No adverse conditions",25,40.4836998,-80.04519653
"22","Hit fixed object",FALSE,"Friday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",55,40.47529984,-80.04019928
"23","Angle",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.38729858,-79.98390198
"24","Sideswipe (same dir.)",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.39810181,-80.02680206
"25","Hit fixed object",FALSE,"Saturday",1,FALSE,TRUE,FALSE,FALSE,"No adverse conditions",25,40.48189926,-80.10970306
"26","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",30,40.46549988,-79.82720184
"27","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.46500015,-80.03359985
"28","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",55,40.39289856,-79.93280029
"29","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.3987999,-80.09609985
"30","Hit fixed object",FALSE,"Friday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",35,40.54349899,-80.18630219
"31","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.3913002,-79.93409729
"32","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Sleet (hail)",35,40.4673996,-79.90879822
"33","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",25,40.43209839,-79.93499756
"34","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.46620178,-79.99310303
"35","Angle",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.35520172,-79.91059875
"36","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",25,40.60160065,-80.07240295
"37","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Sleet (hail)",45,40.51800156,-80.26719666
"38","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",35,40.2879982,-80.01110077
"39","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.47510147,-80.00920105
"40","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Sleet (hail)",25,40.45389938,-80.0062027
"41","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.39490128,-79.89199829
